box1 state,box2 state,box1 belief,box2 belief,action
0.0,0.0,0.37002256512641907,0.42160141468048096,4.0
0.0,0.0,-0.05220543593168259,0.3863263726234436,3.0
0.0,1.0,0.33497482538223267,0.6637042760848999,2.0
1.0,1.0,0.13802775740623474,0.42888376116752625,3.0
1.0,1.0,0.3318132162094116,0.9126824140548706,3.0
1.0,1.0,0.3424231708049774,0.4488789737224579,0.0
1.0,1.0,0.7800852656364441,0.4551827609539032,2.0
0.0,1.0,-0.01065300963819027,0.6537222862243652,2.0
0.0,1.0,0.13802775740623474,0.42888376116752625,0.0
0.0,1.0,0.6027572751045227,0.6623541116714478,3.0
1.0,1.0,0.33497482538223267,0.6637042760848999,0.0
1.0,1.0,0.11514320224523544,0.9110128879547119,3.0
1.0,1.0,0.760128915309906,0.6854424476623535,0.0
1.0,1.0,0.590527355670929,0.6879469752311707,4.0
1.0,0.0,0.33396387100219727,0.21299533545970917,2.0
1.0,0.0,0.33989590406417847,0.30938634276390076,1.0
1.0,0.0,0.5894816517829895,0.4365134537220001,0.0
0.0,0.0,0.11514320224523544,0.9110128879547119,3.0
0.0,0.0,0.3329521119594574,0.33011165261268616,3.0
0.0,1.0,-0.01229085959494114,0.6699929237365723,3.0
0.0,1.0,0.1146073266863823,1.0721224546432495,2.0
0.0,1.0,0.587115466594696,0.6671924591064453,0.0
1.0,1.0,0.11556581407785416,1.0753896236419678,3.0
1.0,1.0,0.1146073266863823,1.0721224546432495,2.0
1.0,1.0,0.774871289730072,0.4357044994831085,1.0
1.0,1.0,0.5894816517829895,0.4365134537220001,0.0
1.0,1.0,0.11660497635602951,0.6665317416191101,0.0
1.0,1.0,0.5799522995948792,0.911815881729126,1.0
1.0,0.0,-0.008558971807360649,0.42573991417884827,1.0
1.0,0.0,0.7630628943443298,0.44086119532585144,3.0
1.0,0.0,0.5817450881004333,0.44685912132263184,3.0
0.0,0.0,0.11592128127813339,0.68222576379776,1.0
0.0,0.0,0.12261798232793808,0.43623292446136475,3.0
1.0,0.0,0.7642552852630615,0.45063838362693787,3.0
1.0,0.0,0.5765272974967957,0.9269265532493591,2.0
1.0,0.0,0.587115466594696,0.6671924591064453,3.0
1.0,0.0,0.11592128127813339,0.68222576379776,1.0
1.0,1.0,0.3487088978290558,0.6720635890960693,1.0
1.0,1.0,0.34988588094711304,0.4378403425216675,1.0
0.0,1.0,0.5845702290534973,1.0782617330551147,0.0
0.0,1.0,0.3415190279483795,1.0780302286148071,0.0
0.0,1.0,-0.011729510501027107,0.6530957818031311,2.0
0.0,1.0,0.012633385136723518,0.41780349612236023,0.0
1.0,1.0,0.6027572751045227,0.6623541116714478,2.0
1.0,0.0,0.6015088558197021,0.30929046869277954,4.0
0.0,0.0,-0.049445755779743195,0.6184384822845459,4.0
0.0,0.0,-0.05562131851911545,0.2483353167772293,3.0
1.0,1.0,0.33531653881073,0.43037644028663635,1.0
1.0,1.0,0.3487088978290558,0.6720635890960693,2.0
1.0,1.0,0.608850359916687,0.6630021333694458,1.0
1.0,1.0,0.5842975974082947,0.9154854416847229,1.0
0.0,1.0,0.5842975974082947,0.9154854416847229,1.0
1.0,1.0,0.5883999466896057,0.6705183982849121,2.0
1.0,1.0,0.6051926016807556,1.079854130744934,4.0
0.0,1.0,-0.049445755779743195,0.6184384822845459,0.0
0.0,1.0,0.1330363005399704,0.6613445281982422,0.0
0.0,1.0,0.1330363005399704,0.6613445281982422,1.0
0.0,1.0,0.34988588094711304,0.4378403425216675,2.0
0.0,1.0,0.366804301738739,0.9088414907455444,3.0
1.0,1.0,0.7400115132331848,0.9126458168029785,1.0
1.0,1.0,0.5845702290534973,1.0782617330551147,0.0
